buildAddress,buildPlace,clerkTel,friEndTme,friSttTme,holEndTme,holSttTme,manager,managerTel,mfg,model,monEndTme,monSttTme,org,rnum,satEndTme,satSttTme,serialSeq,sunEndTme,sunFifYon,sunFrtYon,sunFurYon,sunScdYon,sunSttTme,sunThiYon,thuEndTme,thuSttTme,tueEndTme,tueSttTme,wedEndTme,wedSttTme,wgs84Lat,wgs84Lon,zipcode1,zipcode2,AED_기준,출처
"부산광역시 동구 증산서로 24, 증산해마루 (좌천동)",증산해마루 1층 출입구,051-440-6266,2200,600,,,안**,051*******,㈜나눔테크,NT-381.C,2200.0,600.0,증산해마루,28,,,487-210730-064430,,N,N,N,N,,N,2200,600,2200.0,600.0,2200,600,35.1366680623,129.0488858897,487.0,67.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 충장대로 206 (초량동, 부산여객터미널)",대합실 3층 의무대기실,051-966-3068,2000,600,2000.0,600.0,최**,010********,(주)메디아나,HeartOn A10-G4,2000.0,600.0,부산여객터미널(부산항만공사),29,2000.0,600.0,487-190110-015459,2000.0,Y,Y,Y,Y,600.0,Y,2000,600,2000.0,600.0,2000,600,35.1175129767,129.0493834405,487.0,51.0,2026-07,공공데이터포털 15000652
부산광역시 동구 중앙대로 206 부산역 (초량동),1층 5번출구 KTX특송 사무실 옆,051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼시스템,CU-SPI 플러스,2400.0,0.0,한국철도공사 부산역,30,2400.0,0.0,487-190411-017727,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1150226393,129.0417953958,487.0,60.0,2026-07,공공데이터포털 15000652
부산광역시 동구 중앙대로 206 부산역 (초량동),"E/S 7호기 앞(북쪽 3,4번 타는곳)",051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼시스템,CU-SP1 plus,2400.0,0.0,한국철도공사 부산역,31,2400.0,0.0,487-190411-017730,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1146530849,129.0423345362,487.0,60.0,2026-07,공공데이터포털 15000652
부산광역시 동구 중앙대로 206 부산역 (초량동),E/S 6호기 앞(북쪽 1번 타는 곳),051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼시스템,CU-SP1 plus,2400.0,0.0,한국철도공사 부산역,32,2400.0,0.0,487-190411-017731,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1151175212,129.0415126132,487.0,60.0,2026-07,공공데이터포털 15000652
부산광역시 동구 중앙대로 206 부산역 (초량동),"1층 노조지부사무실 앞(E/S 8,28호기)앞",051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼시스템,CU-SP1 plus,2400.0,0.0,한국철도공사 부산역,33,2400.0,0.0,487-190411-017748,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1149884549,129.0416848695,487.0,60.0,2026-07,공공데이터포털 15000652
부산광역시 동구 중앙대로 206 부산역 (초량동),"2층 하늘맞이방 타는곳 8,9(E/S12호기)앞",051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼시스템,CU-SP1 plus,2400.0,0.0,한국철도공사 부산역,34,2400.0,0.0,487-190411-017749,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1151531835,129.0415354378,487.0,60.0,2026-07,공공데이터포털 15000652
부산광역시 동구 중앙대로 206 부산역 (초량동),"남쪽 5,6 타는곳 앞(바다 맞이방)",051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼시스템,CU-SP1 plus,2400.0,0.0,한국철도공사 부산역,35,2400.0,0.0,487-190411-017750,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1147042648,129.0414364972,487.0,60.0,2026-07,공공데이터포털 15000652
부산광역시 동구 중앙대로 206 부산역 (초량동),철도경찰 옆(신원문고 앞),051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼시스템,CU-SP1 plus,2400.0,0.0,한국철도공사 부산역,36,2400.0,0.0,487-190411-017751,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1146322014,129.041434699,487.0,60.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 초량중로 74, 새부산병원 (초량동)",구급차 내(78나2307),051-711-1000,1800,900,,,김**,010********,(주)메디아나,HEART ON A15,1800.0,900.0,새부산병원,37,1300.0,900.0,488-200602-035594,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1183136227,129.0391520481,488.0,15.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 홍곡로 71, 수정1동 주민자치센터 (수정동)",수정1동행정복지센터 민원실,051-440-6181,1800,900,,,노**,051*******,(주)씨유메디칼시스템,CU-SP1,1800.0,900.0,수정1동행정복지센터,38,,,487-210827-065593,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1254190753,129.0422556597,487.0,85.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 초량상로 112, 초량3동주민센터 (초량동)",초량3동행정복지센터 입구,051-440-6152,1800,900,,,안**,051*******,(주)씨유메디칼시스템,G1T1Y119,1800.0,900.0,초량3동행정복지센터,39,,,487-210827-065594,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1213190617,129.0397924929,487.0,97.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 초량로 75, 초량6동주민자치센터 (초량동)",초량6동행정복지센터 입구,051-440-6161,1800,900,,,박**,051*******,(주)씨유메디칼시스템,CU-SP1,1800.0,900.0,초량6동행정복지센터,40,,,488-210827-065595,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1200286037,129.0345226515,488.0,6.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로179번길 33, 초량1동주민자치센터 (초량동)",행정복지센터 민원실,051-440-6102,1800,900,,,김**,051*******,(주)씨유메디칼시스템,CU-SP1,1800.0,900.0,초량1동행정복지센터,41,,,488-210827-065596,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1139359716,129.0369624581,488.0,20.0,2026-07,공공데이터포털 15000652
부산광역시 동구 중앙대로 206 부산역 (초량동),"E/S 8호기 앞(북쪽 5,6 타는 곳)",051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼시스템,CU-SP1 plus,2400.0,0.0,한국철도공사 부산역,42,2400.0,0.0,487-190411-017752,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1161523688,129.043205493,487.0,60.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 범일로 119, 좋은문화병원 (범일동)",구급차 내(77주2154),051-644-2002,2400,0,2400.0,0.0,김**,010********,NIHON KODHEN,AED-2100K,2400.0,0.0,좋은문화병원,43,2400.0,0.0,487-200603-035922,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1407897063,129.0590486185,487.0,35.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 망양로 488, 망양로 산복도로 전시관 3층 (초량동)",망양로산복도로전시관 3층,051-440-4714,2400,0,2400.0,0.0,이**,051*******,(주)씨유메디칼시스템,CU-SP1,2400.0,0.0,망양로산복도로전시관,44,2400.0,0.0,488-210930-067424,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1176741742,129.0332089499,488.0,9.0,2026-07,공공데이터포털 15000652
부산광역시 동구 범일로 112 (범일동),간호사실,051-715-1144,2400,0,2400.0,0.0,서**,051*******,NIHONKOHDEN,AED-2100K,2400.0,0.0,더힐러스병원,45,2400.0,0.0,487-200608-036959,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1399381704,129.0596649986,487.0,38.0,2026-07,공공데이터포털 15000652
부산광역시 동구 범일로 112 (범일동),구급차 내(72마 8966),051-715-1144,2400,0,2400.0,0.0,서**,051*******,NIHONKOHDEN,AED-2100K,2400.0,0.0,더힐러스병원,46,2400.0,0.0,487-200608-036973,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1399381704,129.0596649986,487.0,38.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 206, 한국철도공사부산지역본부 (초량동)",2층 맞이방 B&C 앞,051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼시스템,CU-SP1 Plus,2400.0,0.0,한국철도공사 부산역,47,2400.0,0.0,487-211026-068587,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1148633811,129.0413527292,487.0,60.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 206, 한국철도공사부산지역본부 (초량동)",9번 승강장 북쪽,051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼시스템,CU-SP1 Plus,2400.0,0.0,한국철도공사 부산역,48,2400.0,0.0,487-211026-068589,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.115300916,129.0423945782,487.0,60.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 206, 한국철도공사부산지역본부 (초량동)",10번 승강장 북쪽,051-440-2288,2400,0,2400.0,0.0,여**,051*******,씨유메디칼시스템,CU-SP1 Plus,2400.0,0.0,한국철도공사 부산역,49,2400.0,0.0,487-211026-068590,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1169490283,129.0440589263,487.0,60.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 357 (수정동, 협성휴포레부산진역)",102동 1층 경비실 내,051-461-0311,2400,0,2400.0,0.0,박**,010********,(주)나눔테크,Heart Keeper,2400.0,0.0,협성휴포레아파트,50,2400.0,0.0,487-200615-037912,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1275472902,129.0469645997,487.0,90.0,2026-07,공공데이터포털 15000652
부산광역시 동구 안창로 90 (범일동),행복동구 건강생활지원센터 1층 남자화장실 옆,051-440-6380,1800,900,,,남**,051*******,(주)나눔테크,NT-381.C,1800.0,900.0,행복동구건강생활지원센터,51,,,487-200702-039251,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1442895536,129.0397040007,487.0,0.0,2026-07,공공데이터포털 15000652
부산광역시 동구 초량중로 114,관리사무소 앞,051-469-8892,2400,0,2400.0,0.0,김**,051*******,(주)나눔테크,Heart Keeper,2400.0,0.0,범양레우스센트럴베이아파트,52,2400.0,0.0,487-200708-039559,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1211428036,129.0417233164,487.0,95.0,2026-07,공공데이터포털 15000652
부산광역시 동구 중앙대로260번길 3-9 (초량동),센터 입구,051-463-7707,1800,900,,,고**,051*******,㈜나눔테크,NT-381.C,1800.0,900.0,부산소망종합지원센터,53,,,487-200723-040526,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1205541458,129.0431888718,487.0,31.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 지하 264, 초량역 (초량동)",대합실 발매기 인근,051-678-6114,2410,510,2410.0,510.0,김**,051*******,㈜나눔테크,NT-381.C,2410.0,510.0,도시철도 초량역,54,2410.0,510.0,487-200723-040527,2410.0,Y,Y,Y,Y,510.0,Y,2410,510,2410.0,510.0,2410,510,35.1211680273,129.0429908763,487.0,31.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 지하 350, 부산진역 (초량동)",대합실 보충기인근,051-678-6115,2400,500,2400.0,500.0,이**,051*******,㈜나눔테크,NT-381.C,2400.0,500.0,도시철도 부산진역,55,2400.0,500.0,487-200723-040543,2400.0,Y,Y,Y,Y,500.0,Y,2400,500,2400.0,500.0,2400,500,35.127272433,129.0474979403,487.0,90.0,2026-07,공공데이터포털 15000652
부산광역시 동구 중앙대로 지하 446 (좌천동),역무안전실 앞(맞은편 통합발매기91 우측),051-678-6116,2354,455,2354.0,455.0,이**,051*******,㈜나눔테크,NT-381.C,2354.0,455.0,도시철도 좌천역,56,2354.0,455.0,487-200723-040548,2354.0,Y,Y,Y,Y,455.0,Y,2354,455,2354.0,455.0,2354,455,35.1343024702,129.0543097885,487.0,27.0,2026-07,공공데이터포털 15000652
부산광역시 동구 구청로 1 민원봉사과,민원여권과 앞,051-440-4264,2400,0,2400.0,0.0,장**,051*******,메디아나,Heart On A15,2400.0,0.0,동구청,57,2400.0,0.0,487-170717-000790,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1292975675,129.0452982034,487.0,81.0,2026-07,공공데이터포털 15000652
부산광역시 동구 자성로140번길 32,1층 홀,051-632-7597,1800,900,,,김**,051*******,메디아나,Heart On A15,1800.0,900.0,자성대노인복지관,58,,,487-170717-000791,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1356435819,129.0648472006,487.0,48.0,2026-07,공공데이터포털 15000652
부산광역시 동구 초량남로 12,B1층,051-714-6092,1800,900,,,조**,051*******,메디아나,Heart On A15,1800.0,900.0,동구노인복지관분관,59,,,488-170717-000792,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1195625791,129.034840976,488.0,6.0,2026-07,공공데이터포털 15000652
부산광역시 동구 구청로 1,4층 보건행정과(무료대여용),051-440-4500,2400,0,2400.0,0.0,이**,051*******,메디아나,HeartOn A15,2400.0,0.0,부산동구보건소,60,2400.0,0.0,487-200909-043575,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1292975675,129.0452982033,487.0,81.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 충장대로 206, 부산항 국제여객터미널 (초량동)",초량동 45-69 일원 (제조번호 : D1R311630046),051-442-8871,2400,0,2400.0,0.0,정**,010********,(주)라디안큐바이오,Heart Guardian HR-501-B,2400.0,0.0,롯데건설(주),61,2400.0,0.0,487-230106-107175,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1177469739,129.0491458206,487.0,51.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 충장대로 206, 부산항 국제여객터미널 (초량동)",초량동 45-69 일원 (제조번호 : D01118070431),051-442-8871,2400,0,2400.0,0.0,정**,010********,(주)라디안큐바이오,Heart Guardian HR-501-B,2400.0,0.0,롯데건설(주),62,2400.0,0.0,487-230106-107180,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1177469739,129.0491458206,487.0,51.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 구청로 14, 동구보훈회관 (수정동)",치매안심센터 6층,051-440-9011,1800,900,,,송**,051*******,씨유메디칼시스템,CU-SP1,1800.0,900.0,동구치매안심센터,63,,,487-230106-107185,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.128331137,129.0450056161,487.0,82.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 314, 한국부동산원 (초량동)",부산사옥 1층 승강기 앞,051-462-0401,2400,0,2400.0,0.0,윤**,051*******,(주)나눔테크,ReHeart NT-38.C,2400.0,0.0,한국부동산원부산동부지사,64,2400.0,0.0,487-230112-109101,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1243372371,129.0451235773,487.0,29.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 314, 한국부동산원 (초량동)",부산사옥 12층 사무실 입구 앞,051-462-0401,2400,0,2400.0,0.0,윤**,051*******,(주)나눔테크,ReHeart NT-38.C,2400.0,0.0,한국부동산원부산동부지사,65,2400.0,0.0,487-230112-109102,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1243372371,129.0451235773,487.0,29.0,2026-07,공공데이터포털 15000652
"부산광역시 동구 중앙대로 317, 세일병원 (초량동)",구급차 내부,051-464-8110,1800,900,,,남**,010********,(주)라디안큐바이오,HR-501,1800.0,900.0,세일병원,66,,,487-220720-085152,,N,N,N,N,,N,1800,900,1800.0,900.0,1800,900,35.1248497432,129.0445943239,487.0,92.0,2026-07,공공데이터포털 15000652
부산광역시 동구 범일로 38 (범일동),102동 지상1층 호이스트 옆,051-647-9351,2400,0,2400.0,0.0,이**,010********,메디아나,HeartOn A15-G4,2400.0,0.0,(주)대우건설부산범일동주상복합현장,67,2400.0,0.0,487-230224-116470,2400.0,Y,Y,Y,Y,0.0,Y,2400,0,2400.0,0.0,2400,0,35.1332720401,129.0600432256,487.0,49.0,2026-07,공공데이터포털 15000652
